"Country","Operator","TADIG code","MCC/MNC","Tags","LTE Status Outbound","LTE Date Outbound","5G NSA Status Outbound","5G NSA Date Outbound"
"India","Airtel India","INDA1","40492",,"Live","2020-02-14","Live","2023-09-13"
"India","Airtel India","INDA2","40490",,"Live","2020-02-14","Live","2023-09-13"
"India","Airtel India","INDA3","40498",,"Live","2020-02-14","Live","2023-09-13"
"India","Airtel India","INDA4","40494",,"Live","2020-02-14","Live","2023-09-13"
"India","Airtel India","INDA5","40496",,"Live","2020-02-14","Live","2023-09-13"
"India","Airtel India","INDA6","40497",,"Live","2020-02-14","Live","2023-09-13"
"India","Airtel India","INDA7","40495",,"Live","2020-02-14","Live","2023-09-13"
"India","Airtel India","INDA8","40493",,"Live","2020-02-14","Live","2023-09-13"
"India","Airtel India","INDA9","40402",,"Live","2020-02-14","Live","2023-09-13"
"India","Airtel India","INDAT","40410",,"Live","2020-02-14","Live","2023-09-13"
"India","Airtel India","INDBL","40403",,"Live","2020-02-14","Live","2023-09-13"
"India","Airtel India","INDH1","40470",,"Live","2020-02-14","Live","2023-09-13"
"India","Airtel India","INDJB","40445",,"Live","2020-02-14","Live","2023-09-13"
"India","Airtel India","INDJH","40449",,"Live","2020-02-14","Live","2023-09-13"
"India","Airtel India","INDMT","40431",,"Live","2020-02-14","Live","2023-09-13"
"India","Airtel India","INDSC","40440",,"Live","2020-02-14","Live","2023-09-13"
"India","Reliance Jio Infocomm Limited","INDJ1","405840","HRVCN_HUB","Live","2026-02-02","N/A",
"India","Reliance Jio Infocomm Limited","INDJ2","405854","HRVCN_HUB","Live","2026-02-02","N/A",
"India","Reliance Jio Infocomm Limited","INDJ3","405855","HRVCN_HUB","Live","2026-02-02","N/A",
"India","Reliance Jio Infocomm Limited","INDJ4","405856","HRVCN_HUB","Live","2026-02-02","N/A",
"India","Reliance Jio Infocomm Limited","INDJ5","405857","HRVCN_HUB","Live","2026-02-02","N/A",
"India","Reliance Jio Infocomm Limited","INDJ6","405858","HRVCN_HUB","Live","2026-02-02","N/A",
"India","Reliance Jio Infocomm Limited","INDJ7","405859","HRVCN_HUB","Live","2026-02-02","N/A",
"India","Reliance Jio Infocomm Limited","INDJ8","405860","HRVCN_HUB","Live","2026-02-02","N/A",
"India","Reliance Jio Infocomm Limited","INDJ9","405861","HRVCN_HUB","Live","2026-02-02","N/A",
"India","Reliance Jio Infocomm Limited","INDJL","405862","HRVCN_HUB","Live","2026-02-02","N/A",
"India","Reliance Jio Infocomm Limited","INDJM","405863","HRVCN_HUB","Live","2026-02-02","N/A",
"India","Reliance Jio Infocomm Limited","INDJN","405864","HRVCN_HUB","Live","2026-02-02","N/A",
"India","Reliance Jio Infocomm Limited","INDJO","405865","HRVCN_HUB","Live","2026-02-02","N/A",
"India","Reliance Jio Infocomm Limited","INDJP","405866","HRVCN_HUB","Live","2026-02-02","N/A",
"India","Reliance Jio Infocomm Limited","INDJQ","405867","HRVCN_HUB","Live","2026-02-02","N/A",
"India","Reliance Jio Infocomm Limited","INDJR","405868","HRVCN_HUB","Live","2026-02-02","N/A",
"India","Reliance Jio Infocomm Limited","INDJS","405869","HRVCN_HUB","Live","2026-02-02","N/A",
