"Provider","ProviderCountry","ISO","Country","URL","Plan","GB","Days","Price","Currency","SpecialOffer","OfferPonder","PriceDate","ISO3","variant_id","name","eur_price","usd_price","source"
"saily","Antigua And Barbuda","AG","Antigua and Barbuda","https://saily.com/esim-antigua-and-barbuda/","Standard","5","30","29.99","USD","","","2026-06-29","ATG","saily-ATG-Standard-5-30-29.99","Select 5 GB - 30 days for 29.99 USD.","","29.99","visible_text"
"saily","Argentina","AR","Argentina","https://saily.com/esim-argentina/","Standard","1","7","5.29","USD","","","2026-06-29","ARG","saily-ARG-Standard-1-7-5.29","Select 1 GB - 7 days for 5.29 USD.","","5.29","visible_text"
"saily","Argentina","AR","Argentina","https://saily.com/esim-argentina/","Standard","3","30","9.99","USD","","","2026-06-29","ARG","saily-ARG-Standard-3-30-9.99","Select 3 GB - 30 days for 9.99 USD.","","9.99","visible_text"
"saily","Argentina","AR","Argentina","https://saily.com/esim-argentina/","Standard","5","30","16.99","USD","","","2026-06-29","ARG","saily-ARG-Standard-5-30-16.99","Select 5 GB - 30 days for 16.99 USD.","","16.99","visible_text"
"saily","Argentina","AR","Argentina","https://saily.com/esim-argentina/","Standard","10","30","29.99","USD","","","2026-06-29","ARG","saily-ARG-Standard-10-30-29.99","Select 10 GB - 30 days for 29.99 USD.","","29.99","visible_text"
"saily","Argentina","AR","Argentina","https://saily.com/esim-argentina/","Standard","20","30","46.99","USD","","","2026-06-29","ARG","saily-ARG-Standard-20-30-46.99","Select 20 GB - 30 days for 46.99 USD.","","46.99","visible_text"
"saily","Armenia","AM","Armenia","https://saily.com/esim-armenia/","Standard","1","7","8.99","USD","","","2026-06-29","ARM","saily-ARM-Standard-1-7-8.99","Select 1 GB - 7 days for 8.99 USD.","","8.99","visible_text"
"saily","Armenia","AM","Armenia","https://saily.com/esim-armenia/","Standard","3","30","15.99","USD","","","2026-06-29","ARM","saily-ARM-Standard-3-30-15.99","Select 3 GB - 30 days for 15.99 USD.","","15.99","visible_text"
"saily","Armenia","AM","Armenia","https://saily.com/esim-armenia/","Standard","5","30","25.99","USD","","","2026-06-29","ARM","saily-ARM-Standard-5-30-25.99","Select 5 GB - 30 days for 25.99 USD.","","25.99","visible_text"
"saily","Armenia","AM","Armenia","https://saily.com/esim-armenia/","Standard","10","30","44.99","USD","","","2026-06-29","ARM","saily-ARM-Standard-10-30-44.99","Select 10 GB - 30 days for 44.99 USD.","","44.99","visible_text"
"saily","Australia","AU","Australia","https://saily.com/esim-australia/","Standard","1","7","3.99","USD","","","2026-06-29","AUS","saily-AUS-Standard-1-7-3.99","Select 1 GB - 7 days for 3.99 USD.","","3.99","visible_text"
"saily","Australia","AU","Australia","https://saily.com/esim-australia/","Standard","3","30","7.99","USD","","","2026-06-29","AUS","saily-AUS-Standard-3-30-7.99","Select 3 GB - 30 days for 7.99 USD.","","7.99","visible_text"
"saily","Australia","AU","Australia","https://saily.com/esim-australia/","Standard","5","30","10.99","USD","","","2026-06-29","AUS","saily-AUS-Standard-5-30-10.99","Select 5 GB - 30 days for 10.99 USD.","","10.99","visible_text"
"saily","Australia","AU","Australia","https://saily.com/esim-australia/","Standard","10","30","17.99","USD","","","2026-06-29","AUS","saily-AUS-Standard-10-30-17.99","Select 10 GB - 30 days for 17.99 USD.","","17.99","visible_text"
