"Provider","ProviderCountry","ISO","Country","URL","Plan","GB","Days","Price","Currency","SpecialOffer","OfferPonder","PriceDate","ISO3","variant_id","name","eur_price","usd_price"
"orange","Andorra","AD","Andorra","https://travel.orange.com/en/buy-a-sim/offers/andorra","Data-20","20","30","22.99","USD","","","2026-06-26","AND","data-20-20-30days-nooffer","20GB $22.99 USD Details","","22.99"
"orange","Andorra","AD","Andorra","https://travel.orange.com/en/buy-a-sim/offers/andorra","Data+Calls+SMS-50","50","30","43.99","USD","","","2026-06-26","AND","data-calls-sms-50-50-30days-nooffer","50GB Texts 1000 Calls 180min $43.99 USD Details","","43.99"
"orange","Andorra","AD","Andorra","https://travel.orange.com/en/buy-a-sim/offers/andorra","Data-50","50","30","35.99","USD","","","2026-06-26","AND","data-50-50-30days-nooffer","50GB $35.99 USD Details","","35.99"
"orange","Andorra","AD","Andorra","https://travel.orange.com/en/buy-a-sim/offers/andorra","Data+Calls+SMS-100","100","30","50.99","USD","30% OFF","30","2026-06-26","AND","data-calls-sms-100-100-30days-30-off","30% OFF 100GB Texts 1000 Calls 180min $71.99 $50.99 USD Details","","50.99"
"orange","Andorra","AD","Andorra","https://travel.orange.com/en/buy-a-sim/offers/andorra","Data-100","100","30","41.99","USD","30% OFF","30","2026-06-26","AND","data-100-100-30days-30-off","30% OFF 100GB $59.99 $41.99 USD Details","","41.99"
"orange","Andorra","AD","Andorra","https://travel.orange.com/en/buy-a-sim/offers/andorra","Data+Calls+SMS-100","100","45","51.99","USD","30% OFF","30","2026-06-26","AND","data-calls-sms-100-100-45days-30-off","30% OFF 100GB Texts 1000 Calls 180min $74.99 $51.99 USD Details","","51.99"
"orange","Andorra","AD","Andorra","https://travel.orange.com/en/buy-a-sim/offers/andorra","Data-100","100","45","43.99","USD","30% OFF","30","2026-06-26","AND","data-100-100-45days-30-off","30% OFF 100GB $61.99 $43.99 USD Details","","43.99"
"orange","Andorra","AD","Andorra","https://travel.orange.com/en/buy-a-sim/offers/andorra","Data+Calls+SMS-200","200","45","86.99","USD","20% OFF","20","2026-06-26","AND","data-calls-sms-200-200-45days-20-off","20% OFF 200GB Texts 1000 Calls 300min $107.99 $86.99 USD Details","","86.99"
"orange","Andorra","AD","Andorra","https://travel.orange.com/en/buy-a-sim/offers/andorra","Data-200","200","45","71.99","USD","20% OFF","20","2026-06-26","AND","data-200-200-45days-20-off","20% OFF 200GB $89.99 $71.99 USD Details","","71.99"
"orange","Andorra","AD","Andorra","https://travel.orange.com/en/buy-a-sim/offers/andorra","Data+Calls+SMS-500","500","90","134.99","USD","40% OFF","40","2026-06-26","AND","data-calls-sms-500-500-90days-40-off","40% OFF 500GB Texts 1000 Calls 360min $223.99 $134.99 USD Details","","134.99"
"orange","Andorra","AD","Andorra","https://travel.orange.com/en/buy-a-sim/offers/andorra","Data-500","500","90","111.99","USD","40% OFF","40","2026-06-26","AND","data-500-500-90days-40-off","40% OFF 500GB $185.99 $111.99 USD Details","","111.99"
"orange","Argentina","AR","Argentina","https://travel.orange.com/en/buy-a-sim/offers/argentina","Data-1","1","7","4.99","USD","","","2026-06-26","ARG","data-1-1-7days-nooffer","1GB $4.99 USD Details","","4.99"
"orange","Argentina","AR","Argentina","https://travel.orange.com/en/buy-a-sim/offers/argentina","Data-3","3","7","14.99","USD","","","2026-06-26","ARG","data-3-3-7days-nooffer","3GB $14.99 USD Details","","14.99"
"orange","Argentina","AR","Argentina","https://travel.orange.com/en/buy-a-sim/offers/argentina","Data+Calls+SMS-5","5","7","29.99","USD","","","2026-06-26","ARG","data-calls-sms-5-5-7days-nooffer","5GB Texts 50 Calls 15min $29.99 USD Details","","29.99"
"orange","Argentina","AR","Argentina","https://travel.orange.com/en/buy-a-sim/offers/argentina","Data-5","5","7","17.99","USD","","","2026-06-26","ARG","data-5-5-7days-nooffer","5GB $17.99 USD Details","","17.99"
"orange","Argentina","AR","Argentina","https://travel.orange.com/en/buy-a-sim/offers/argentina","Data-10","10","7","28.99","USD","","","2026-06-26","ARG","data-10-10-7days-nooffer","10GB $28.99 USD Details","","28.99"
"orange","Argentina","AR","Argentina","https://travel.orange.com/en/buy-a-sim/offers/argentina","Data+Calls+SMS-10","10","14","41.99","USD","","","2026-06-26","ARG","data-calls-sms-10-10-14days-nooffer","10GB Texts 50 Calls 15min $41.99 USD Details","","41.99"
"orange","Argentina","AR","Argentina","https://travel.orange.com/en/buy-a-sim/offers/argentina","Data-10","10","14","35.99","USD","","","2026-06-26","ARG","data-10-10-14days-nooffer","10GB $35.99 USD Details","","35.99"
"orange","Argentina","AR","Argentina","https://travel.orange.com/en/buy-a-sim/offers/argentina","Data-20","20","14","33.99","USD","30% OFF","30","2026-06-26","ARG","data-20-20-14days-30-off","30% OFF 20GB $47.99 $33.99 USD Details","","33.99"
"orange","Argentina","AR","Argentina","https://travel.orange.com/en/buy-a-sim/offers/argentina","Data+Calls+SMS-20","20","30","41.99","USD","30% OFF","30","2026-06-26","ARG","data-calls-sms-20-20-30days-30-off","30% OFF 20GB Texts 50 Calls 15min $59.99 $41.99 USD Details","","41.99"
"orange","Argentina","AR","Argentina","https://travel.orange.com/en/buy-a-sim/offers/argentina","Data-20","20","30","50.99","USD","","","2026-06-26","ARG","data-20-20-30days-nooffer","20GB $50.99 USD Details","","50.99"
"orange","Argentina","AR","Argentina","https://travel.orange.com/en/buy-a-sim/offers/argentina","Data+Calls+SMS-50","50","30","58.99","USD","30% OFF","30","2026-06-26","ARG","data-calls-sms-50-50-30days-30-off","30% OFF 50GB Texts 50 Calls 15min $83.99 $58.99 USD Details","","58.99"
