"Provider","ProviderCountry","ISO","Country","URL","Plan","GB","Days","Price","Currency","SpecialOffer","OfferPonder","PriceDate","ISO3","variant_id","name","eur_price","usd_price"
"holafly","Egypt","EG","Egypt","https://esim.holafly.com/esim-egypt/","Unlimited","Unlimited","18","56.9","USD","","","2026-06-15","EGY","48634227818832","Egypt","51.9","56.9"
"holafly","Egypt","EG","Egypt","https://esim.holafly.com/esim-egypt/","Unlimited","Unlimited","19","59.9","USD","","","2026-06-15","EGY","48634227851600","Egypt","54.9","59.9"
"holafly","Egypt","EG","Egypt","https://esim.holafly.com/esim-egypt/","Unlimited","Unlimited","20","61.9","USD","","","2026-06-15","EGY","40800480067681","Egypt","56.9","61.9"
"holafly","Egypt","EG","Egypt","https://esim.holafly.com/esim-egypt/","Unlimited","Unlimited","21","64.9","USD","","","2026-06-15","EGY","48634227884368","Egypt","59.9","64.9"
"holafly","Egypt","EG","Egypt","https://esim.holafly.com/esim-egypt/","Unlimited","Unlimited","22","67.9","USD","","","2026-06-15","EGY","48634227917136","Egypt","62.9","67.9"
"holafly","Egypt","EG","Egypt","https://esim.holafly.com/esim-egypt/","Unlimited","Unlimited","23","71.9","USD","","","2026-06-15","EGY","48634227949904","Egypt","65.9","71.9"
"holafly","Egypt","EG","Egypt","https://esim.holafly.com/esim-egypt/","Unlimited","Unlimited","24","74.9","USD","","","2026-06-15","EGY","48634227982672","Egypt","68.9","74.9"
"holafly","Egypt","EG","Egypt","https://esim.holafly.com/esim-egypt/","Unlimited","Unlimited","25","77.9","USD","","","2026-06-15","EGY","48634228015440","Egypt","71.9","77.9"
"holafly","Egypt","EG","Egypt","https://esim.holafly.com/esim-egypt/","Unlimited","Unlimited","26","80.9","USD","","","2026-06-15","EGY","48634228048208","Egypt","74.9","80.9"
"holafly","Egypt","EG","Egypt","https://esim.holafly.com/esim-egypt/","Unlimited","Unlimited","27","84.9","USD","","","2026-06-15","EGY","48634228080976","Egypt","77.9","84.9"
"holafly","Egypt","EG","Egypt","https://esim.holafly.com/esim-egypt/","Unlimited","Unlimited","28","87.9","USD","","","2026-06-15","EGY","48634228113744","Egypt","80.9","87.9"
"holafly","Egypt","EG","Egypt","https://esim.holafly.com/esim-egypt/","Unlimited","Unlimited","29","90.9","USD","","","2026-06-15","EGY","48634228179280","Egypt","83.9","90.9"
"holafly","Egypt","EG","Egypt","https://esim.holafly.com/esim-egypt/","Unlimited","Unlimited","30","93.9","USD","","","2026-06-15","EGY","40800480100449","Egypt","86.9","93.9"
"holafly","Morocco","MA","Morocco","https://esim.holafly.com/esim-morocco/","Unlimited","Unlimited","1","3.9","USD","","","2026-06-15","MAR","48634869940560","Morocco","3.79","3.9"
"holafly","Morocco","MA","Morocco","https://esim.holafly.com/esim-morocco/","Unlimited","Unlimited","2","7.8","USD","","","2026-06-15","MAR","48634870006096","Morocco","7.58","7.8"
"holafly","Morocco","MA","Morocco","https://esim.holafly.com/esim-morocco/","Unlimited","Unlimited","3","11.7","USD","","","2026-06-15","MAR","48634870038864","Morocco","11.37","11.7"
"holafly","Morocco","MA","Morocco","https://esim.holafly.com/esim-morocco/","Unlimited","Unlimited","4","15.6","USD","","","2026-06-15","MAR","52863372919120","Morocco","14.9","15.6"
"holafly","Morocco","MA","Morocco","https://esim.holafly.com/esim-morocco/","Unlimited","Unlimited","5","19.5","USD","","","2026-06-15","MAR","52863372951888","Morocco","18.9","19.5"
"holafly","Morocco","MA","Morocco","https://esim.holafly.com/esim-morocco/","Unlimited","Unlimited","6","23.4","USD","","","2026-06-15","MAR","52863372984656","Morocco","22.9","23.4"
"holafly","Morocco","MA","Morocco","https://esim.holafly.com/esim-morocco/","Unlimited","Unlimited","7","27.3","USD","","","2026-06-15","MAR","52863373017424","Morocco","26.9","27.3"
