ISO3,Provider,Plan,Days,GB,ChangeType,ChangeReason,Price_old,Price_new,Currency_old,Currency_new,usd_price_old,usd_price_new,eur_price_old,eur_price_new,SpecialOffer_old,SpecialOffer_new
BWA,orange,Data+Calls+SMS-10,30,10,deleted,,58.99,,USD,,58.99,,,,,
BWA,orange,Data+Calls+SMS-2,30,2,deleted,,28.99,,USD,,28.99,,,,,
BWA,orange,Data+Calls+SMS-20,30,20,deleted,,70.99,,USD,,70.99,,,,,
BWA,orange,Data+Calls+SMS-5,30,5,deleted,,46.99,,USD,,46.99,,,,,
BWA,orange,Data-1,7,1,deleted,,9.99,,USD,,9.99,,,,,
BWA,orange,Data-10,7,10,deleted,,40.99,,USD,,40.99,,,,,
BWA,orange,Data-3,7,3,deleted,,21.99,,USD,,21.99,,,,,
BWA,orange,Data-5,7,5,deleted,,33.99,,USD,,33.99,,,,,
CAN,orange,Data+Calls+SMS-2,7,2,deleted,,9.99,,USD,,9.99,,,,,
CAN,orange,Data+Calls+SMS-5,7,5,deleted,,23.99,,USD,,23.99,,,,,
CAN,orange,Data-1,7,1,deleted,,7.99,,USD,,7.99,,,,,
CAN,orange,Data-10,7,10,deleted,,26.99,,USD,,26.99,,,,,
CAN,orange,Data-3,7,3,deleted,,14.99,,USD,,14.99,,,,,
CAN,orange,Data-5,7,5,deleted,,17.99,,USD,,17.99,,,,,
CHE,orange,Data+Calls+SMS-1,7,1,deleted,,5.99,,USD,,5.99,,,,,
CHE,orange,Data+Calls+SMS-10,7,10,deleted,,19.99,,USD,,19.99,,,,,
CHE,orange,Data+Calls+SMS-3,7,3,deleted,,10.99,,USD,,10.99,,,,,
CHE,orange,Data+Calls+SMS-5,7,5,deleted,,13.99,,USD,,13.99,,,,,
CHE,orange,Data-1,7,1,deleted,,1.21,,USD,,1.21,,,,Clearance Sale,
CHE,orange,Data-10,7,10,deleted,,15.99,,USD,,15.99,,,,,
CHE,orange,Data-10,14,10,changed,price,3.99,3.97,USD,USD,3.99,3.97,,,Clearance Sale,Clearance Sale
CHE,orange,Data-20,30,20,changed,price,4.99,4.97,USD,USD,4.99,4.97,,,Clearance Sale,Clearance Sale
CHE,orange,Data-3,7,3,deleted,,1.59,,USD,,1.59,,,,Clearance Sale,
CHE,orange,Data-30,30,30,new,,,13.99,,USD,,13.99,,,,Clearance Sale
CHE,orange,Data-5,7,5,deleted,,2.48,,USD,,2.48,,,,Clearance Sale,
CHE,orange,Data-50,30,50,changed,price+promo,35.99,19.99,USD,USD,35.99,19.99,,,,Clearance Sale
CHL,orange,Data+Calls+SMS-100,30,100,deleted,,67.99,,USD,,67.99,,,,30% OFF,
CHL,orange,Data+Calls+SMS-20,30,20,deleted,,47.99,,USD,,47.99,,,,,
CHL,orange,Data+Calls+SMS-50,30,50,deleted,,50.99,,USD,,50.99,,,,30% OFF,
CHL,orange,Data-1,7,1,deleted,,4.99,,USD,,4.99,,,,,
CHL,orange,Data-10,7,10,deleted,,26.99,,USD,,26.99,,,,,
CHL,orange,Data-3,7,3,deleted,,9.99,,USD,,9.99,,,,,
CHL,orange,Data-5,7,5,deleted,,14.99,,USD,,14.99,,,,,
CHN,orange,Data+Calls+SMS-10,14,10,deleted,,35.99,,USD,,35.99,,,,,
CHN,orange,Data+Calls+SMS-100,30,100,deleted,,57.99,,USD,,57.99,,,,40% OFF,
CHN,orange,Data+Calls+SMS-20,30,20,deleted,,35.99,,USD,,35.99,,,,40% OFF,
CHN,orange,Data+Calls+SMS-5,7,5,deleted,,17.99,,USD,,17.99,,,,,
CHN,orange,Data-1,7,1,deleted,,4.99,,USD,,4.99,,,,,
CHN,orange,Data-10,7,10,deleted,,22.99,,USD,,22.99,,,,,
CHN,orange,Data-3,7,3,deleted,,10.99,,USD,,10.99,,,,,
CHN,orange,Data-5,7,5,deleted,,13.99,,USD,,13.99,,,,,
COD,orange,Data+Calls+SMS-20,30,20,deleted,,46.99,,USD,,46.99,,,,,
COD,orange,Data-1,7,1,deleted,,8.99,,USD,,8.99,,,,,
COD,orange,Data-10,7,10,deleted,,41.99,,USD,,41.99,,,,,
COD,orange,Data-3,7,3,deleted,,15.99,,USD,,15.99,,,,,
COD,orange,Data-5,7,5,deleted,,23.99,,USD,,23.99,,,,,
COL,orange,Data+Calls+SMS-10,30,10,deleted,,47.99,,USD,,47.99,,,,,
COL,orange,Data+Calls+SMS-100,30,100,deleted,,88.99,,USD,,88.99,,,,30% OFF,
COL,orange,Data+Calls+SMS-2,30,2,deleted,,17.99,,USD,,17.99,,,,,
COL,orange,Data+Calls+SMS-20,30,20,deleted,,71.99,,USD,,71.99,,,,,
COL,orange,Data+Calls+SMS-5,30,5,deleted,,29.99,,USD,,29.99,,,,,
COL,orange,Data+Calls+SMS-50,30,50,deleted,,71.99,,USD,,71.99,,,,30% OFF,
COL,orange,Data-1,7,1,deleted,,4.99,,USD,,4.99,,,,,
COL,orange,Data-10,7,10,deleted,,26.99,,USD,,26.99,,,,,
COL,orange,Data-3,7,3,deleted,,9.99,,USD,,9.99,,,,,
COL,orange,Data-5,7,5,deleted,,15.99,,USD,,15.99,,,,,
CPV,orange,Data+Calls+SMS-1,30,1,deleted,,9.99,,USD,,9.99,,,,,
CRI,orange,Data+Calls+SMS-2,7,2,deleted,,14.99,,USD,,14.99,,,,,
CRI,orange,Data+Calls+SMS-5,7,5,deleted,,28.99,,USD,,28.99,,,,,
CRI,orange,Data-1,7,1,deleted,,9.99,,USD,,9.99,,,,,
CRI,orange,Data-10,7,10,deleted,,34.99,,USD,,34.99,,,,,
CRI,orange,Data-3,7,3,deleted,,16.99,,USD,,16.99,,,,,
CRI,orange,Data-5,7,5,deleted,,26.99,,USD,,26.99,,,,,
CUB,orange,Data+Calls+SMS-1,7,1,deleted,,7.99,,USD,,7.99,,,,Clearance Sale,
CUB,orange,Data+Calls+SMS-3,7,3,deleted,,14.99,,USD,,14.99,,,,Clearance Sale,
CUB,orange,Data+Calls+SMS-5,7,5,deleted,,23.99,,USD,,23.99,,,,Clearance Sale,
CYP,orange,Data+Calls+SMS-1,7,1,deleted,,5.99,,USD,,5.99,,,,,
CYP,orange,Data+Calls+SMS-10,7,10,deleted,,19.99,,USD,,19.99,,,,,
CYP,orange,Data+Calls+SMS-3,7,3,deleted,,10.99,,USD,,10.99,,,,,
CYP,orange,Data+Calls+SMS-5,7,5,deleted,,13.99,,USD,,13.99,,,,,
CYP,orange,Data-1,7,1,deleted,,4.99,,USD,,4.99,,,,,
CYP,orange,Data-10,7,10,deleted,,15.99,,USD,,15.99,,,,,
CYP,orange,Data-3,7,3,deleted,,8.99,,USD,,8.99,,,,,
CYP,orange,Data-5,7,5,deleted,,10.99,,USD,,10.99,,,,,
CZE,orange,Data+Calls+SMS-1,7,1,deleted,,5.99,,USD,,5.99,,,,,
CZE,orange,Data+Calls+SMS-10,7,10,deleted,,19.99,,USD,,19.99,,,,,
CZE,orange,Data+Calls+SMS-3,7,3,deleted,,10.99,,USD,,10.99,,,,,
CZE,orange,Data+Calls+SMS-5,7,5,deleted,,13.99,,USD,,13.99,,,,,
CZE,orange,Data-1,7,1,deleted,,4.99,,USD,,4.99,,,,,
CZE,orange,Data-10,7,10,deleted,,15.99,,USD,,15.99,,,,,
CZE,orange,Data-3,7,3,deleted,,8.99,,USD,,8.99,,,,,
CZE,orange,Data-5,7,5,deleted,,10.99,,USD,,10.99,,,,,
DEU,orange,Data+Calls+SMS-1,7,1,deleted,,5.99,,USD,,5.99,,,,,
DEU,orange,Data+Calls+SMS-10,7,10,deleted,,19.99,,USD,,19.99,,,,,
DEU,orange,Data+Calls+SMS-3,7,3,deleted,,10.99,,USD,,10.99,,,,,
DEU,orange,Data+Calls+SMS-5,7,5,deleted,,13.99,,USD,,13.99,,,,,
DEU,orange,Data-1,7,1,deleted,,4.99,,USD,,4.99,,,,,
DEU,orange,Data-10,7,10,deleted,,15.99,,USD,,15.99,,,,,
DEU,orange,Data-3,7,3,deleted,,8.99,,USD,,8.99,,,,,
DEU,orange,Data-5,7,5,deleted,,10.99,,USD,,10.99,,,,,
DNK,orange,Data+Calls+SMS-1,7,1,deleted,,5.99,,USD,,5.99,,,,,
DNK,orange,Data+Calls+SMS-10,7,10,deleted,,19.99,,USD,,19.99,,,,,
DNK,orange,Data+Calls+SMS-3,7,3,deleted,,10.99,,USD,,10.99,,,,,
DNK,orange,Data+Calls+SMS-5,7,5,deleted,,13.99,,USD,,13.99,,,,,
DNK,orange,Data-1,7,1,deleted,,4.99,,USD,,4.99,,,,,
DNK,orange,Data-10,7,10,deleted,,15.99,,USD,,15.99,,,,,
DNK,orange,Data-3,7,3,deleted,,8.99,,USD,,8.99,,,,,
DNK,orange,Data-5,7,5,deleted,,10.99,,USD,,10.99,,,,,
DZA,orange,Data+Calls+SMS-20,30,20,deleted,,52.99,,USD,,52.99,,,,,
DZA,orange,Data-1,7,1,deleted,,4.99,,USD,,4.99,,,,,
DZA,orange,Data-10,7,10,deleted,,21.99,,USD,,21.99,,,,,
DZA,orange,Data-3,7,3,deleted,,11.99,,USD,,11.99,,,,,
DZA,orange,Data-5,7,5,deleted,,15.99,,USD,,15.99,,,,,
ECU,orange,Data+Calls+SMS-10,30,10,deleted,,59.99,,USD,,59.99,,,,,
ECU,orange,Data+Calls+SMS-100,30,100,deleted,,83.99,,USD,,83.99,,,,30% OFF,
ECU,orange,Data+Calls+SMS-2,30,2,deleted,,20.99,,USD,,20.99,,,,,
ECU,orange,Data+Calls+SMS-20,30,20,deleted,,71.99,,USD,,71.99,,,,,
ECU,orange,Data+Calls+SMS-5,30,5,deleted,,35.99,,USD,,35.99,,,,,
ECU,orange,Data+Calls+SMS-50,30,50,deleted,,67.99,,USD,,67.99,,,,30% OFF,
ECU,orange,Data-1,7,1,deleted,,5.99,,USD,,5.99,,,,,
ECU,orange,Data-10,7,10,deleted,,33.99,,USD,,33.99,,,,,
ECU,orange,Data-10,14,10,changed,price,35.99,29.99,USD,EUR,35.99,,,29.99,,
ECU,orange,Data-100,30,100,changed,price,98.99,81.99,USD,EUR,98.99,,,81.99,,
ECU,orange,Data-100,45,100,changed,price,99.99,82.99,USD,EUR,99.99,,,82.99,,
ECU,orange,Data-20,14,20,changed,price,41.99,34.99,USD,EUR,41.99,,,34.99,,
ECU,orange,Data-20,30,20,changed,price,59.99,49.99,USD,EUR,59.99,,,49.99,,
ECU,orange,Data-3,7,3,deleted,,15.99,,USD,,15.99,,,,,
ECU,orange,Data-5,7,5,deleted,,23.99,,USD,,23.99,,,,,
ECU,orange,Data-50,30,50,changed,price,75.99,62.99,USD,EUR,75.99,,,62.99,,
EGY,orange,Data+Calls+SMS-2,7,2,deleted,,20.99,,USD,,20.99,,,,,
EGY,orange,Data+Calls+SMS-5,7,5,deleted,,23.99,,USD,,23.99,,,,,
EGY,orange,Data-1,7,1,deleted,,5.99,,USD,,5.99,,,,,
EGY,orange,Data-10,7,10,deleted,,19.99,,USD,,19.99,,,,,
EGY,orange,Data-3,7,3,deleted,,11.99,,USD,,11.99,,,,,
EGY,orange,Data-5,7,5,deleted,,14.99,,USD,,14.99,,,,,
ESP,orange,Data+Calls+SMS-1,7,1,deleted,,7.99,,USD,,7.99,,,,,
ESP,orange,Data+Calls+SMS-10,14,10,deleted,,13.99,,USD,,13.99,,,,31% OFF,
ESP,orange,Data+Calls+SMS-100,30,100,deleted,,49.99,,USD,,49.99,,,,30% OFF,
ESP,orange,Data+Calls+SMS-20,30,20,deleted,,16.99,,USD,,16.99,,,,30% OFF,
ESP,orange,Data+Calls+SMS-200,30,200,deleted,,95.99,,USD,,95.99,,,,,
ESP,orange,Data+Calls+SMS-3,7,3,deleted,,11.99,,USD,,11.99,,,,,
ESP,orange,Data+Calls+SMS-5,7,5,deleted,,13.99,,USD,,13.99,,,,,
ESP,orange,Data+Calls+SMS-50,30,50,deleted,,33.99,,USD,,33.99,,,,30% OFF,
ESP,orange,Data+Calls+SMS-500,90,500,deleted,,142.99,,USD,,142.99,,,,30% OFF,
ESP,orange,Data-1,7,1,deleted,,5.99,,USD,,5.99,,,,,
ESP,orange,Data-3,7,3,deleted,,9.99,,USD,,9.99,,,,,
ESP,orange,Data-5,7,5,deleted,,10.99,,USD,,10.99,,,,,
EST,orange,Data+Calls+SMS-1,7,1,deleted,,5.99,,USD,,5.99,,,,,
EST,orange,Data+Calls+SMS-10,7,10,deleted,,19.99,,USD,,19.99,,,,,
EST,orange,Data+Calls+SMS-3,7,3,deleted,,10.99,,USD,,10.99,,,,,
EST,orange,Data+Calls+SMS-5,7,5,deleted,,13.99,,USD,,13.99,,,,,
EST,orange,Data-1,7,1,deleted,,4.99,,USD,,4.99,,,,,
EST,orange,Data-10,7,10,deleted,,15.99,,USD,,15.99,,,,,
EST,orange,Data-3,7,3,deleted,,8.99,,USD,,8.99,,,,,
EST,orange,Data-5,7,5,deleted,,10.99,,USD,,10.99,,,,,
FIN,orange,Data+Calls+SMS-1,7,1,deleted,,5.99,,USD,,5.99,,,,,
FIN,orange,Data+Calls+SMS-10,7,10,deleted,,19.99,,USD,,19.99,,,,,
FIN,orange,Data+Calls+SMS-3,7,3,deleted,,10.99,,USD,,10.99,,,,,
FIN,orange,Data+Calls+SMS-5,7,5,deleted,,13.99,,USD,,13.99,,,,,
FIN,orange,Data-1,7,1,deleted,,4.99,,USD,,4.99,,,,,
FIN,orange,Data-10,7,10,deleted,,15.99,,USD,,15.99,,,,,
FIN,orange,Data-3,7,3,deleted,,8.99,,USD,,8.99,,,,,
FIN,orange,Data-5,7,5,deleted,,10.99,,USD,,10.99,,,,,
FJI,orange,Data+Calls+SMS-5,30,5,deleted,,29.99,,USD,,29.99,,,,,
FRA,airalo,Standard,3,3,changed,price,6.5,7.0,USD,USD,6.5,7.0,6.5,7.0,,
FRA,airalo,Standard,7,3,changed,price,7.0,7.5,USD,USD,7.0,7.5,7.0,7.5,,
FRA,airalo,Standard,7,5,changed,price,9.5,10.0,USD,USD,9.5,10.0,9.5,10.0,,
FRA,airalo,Standard,7,10,changed,price,15.0,17.0,USD,USD,15.0,17.0,15.0,17.0,,
FRA,airalo,Standard,15,5,changed,price,10.0,11.0,USD,USD,10.0,11.0,10.0,11.0,,
FRA,airalo,Standard,15,10,changed,price,15.5,18.0,USD,USD,15.5,18.0,15.5,18.0,,
FRA,airalo,Standard,15,20,changed,price,22.5,25.0,USD,USD,22.5,25.0,22.5,25.0,,
FRA,airalo,Standard,30,5,changed,price,11.0,12.0,USD,USD,11.0,12.0,11.0,12.0,,
